_id,correo,id_grupo,id_carrera,programa_educativo,nombre,apellido_paterno,apellido_materno,curp,rfc,sexo,genero,estado_civil,numero_hijos,depende_economicamente,religion,grupo_sanguineo,fecha_nacimiento,edad,pais_nacimiento,estado_nacimiento,municipio_nacimiento,telefono_celular,telefono_casa,correo_personal,redes_sociales,direccion,referencias_domicilio,contacto_emergencia_1,contacto_emergencia_2,aspectos_socioeconomicos,aportantes_gasto_familiar,edad_integrantes_familia,condiciones_salud,analisis_academico,expectativas_educativas_ocupacionales,updated_at,created_at,id_alumno
67de1a0aa71f355cd80b8a02,example@mail.com,67d7a45f693e07166103f485,67d7a402693e07166103f482,Licenciatura en Software,Juan,Perez,Lopez,JUAN780101HNPLRP09,JUAP780101HPL,Masculino,Hombre,Soltero,0,Padres,Católica,O+,1990-01-01,31,México,Jalisco,Guadalajara,3331234567,3337654321,juanperez@gmail.com,https://facebook.com/juanperez,"{'calle': 'Av. Reforma', 'no_exterior': '123', 'no_interior': 'A', 'colonia': 'Centro', 'localidad': 'Guadalajara', 'municipio': 'Guadalajara', 'cp': '44100'}","['Cerca de la tienda OXXO', 'Frente al parque']","{'nombre': 'Maria Lopez', 'telefono': '3339876543', 'relacion': 'Madre'}","{'nombre': 'Carlos Perez', 'telefono': '3336543210', 'relacion': 'Padre'}","{'trabaja': 'Sí', 'horas_trabajo': '40', 'nombre_trabajo': 'Desarrollador de Software', 'direccion_trabajo': 'Av. Vallarta 1234', 'dias_trabajo': 'Lunes a Viernes', 'horario_trabajo': '9:00 a 18:00', 'ingreso_mensual': '15000', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': True, 'madre': True, 'hermanos': False, 'abuelos_maternos': False, 'abuelos_paternos': False, 'parientes': False, 'ingreso_familiar': '30000'}","[55, 52, 30]","{'condiciones': ['Hipertensión'], 'otro': 'Ninguno', 'padecimiento_cronico': True, 'nombre_padecimiento': 'Hipertensión', 'alergias': False, 'nombre_alergia': 'Ninguna', 'toma_medicamentos': True, 'nombre_medicamento': 'Enalapril', 'atencion_psicologica': False, 'motivo_atencion': 'No aplica'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UdeG', 'especialidad_previa': 'Ingeniería en Sistemas', 'municipio_institucion': 'Guadalajara', 'estado_institucion': 'Jalisco'}","{'espacio_laboral_preferido': 'Empresa Tecnológica', 'posibilidades_trabajo': 'Alto'}",2025-03-22 02:01:44.563,2025-03-22 02:01:44.563,
67de351ca71f355cd80b8a03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-22 03:57:16.555,2025-03-22 03:57:16.555,
67de6a504499e9ed780ee1d2,example@mail.com,67d7a45f693e07166103f485,67d7a402693e07166103f482,Licenciatura en Software,Daniel,Perez,Lopez,JUAN780101HNPLRP09,JUAP780101HPL,Masculino,Hombre,Soltero,0,Padres,Católica,O+,1990-01-01,31,México,Jalisco,Guadalajara,3331234567,3337654321,juanperez@gmail.com,https://facebook.com/juanperez,"{'calle': 'Av. Reforma', 'no_exterior': '123', 'no_interior': 'A', 'colonia': 'Centro', 'localidad': 'Guadalajara', 'municipio': 'Guadalajara', 'cp': '44100'}","['Cerca de la tienda OXXO', 'Frente al parque']","{'nombre': 'Maria Lopez', 'telefono': '3339876543', 'relacion': 'Madre'}","{'nombre': 'Carlos Perez', 'telefono': '3336543210', 'relacion': 'Padre'}","{'trabaja': 'Sí', 'horas_trabajo': '40', 'nombre_trabajo': 'Desarrollador de Software', 'direccion_trabajo': 'Av. Vallarta 1234', 'dias_trabajo': 'Lunes a Viernes', 'horario_trabajo': '9:00 a 18:00', 'ingreso_mensual': '15000', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': True, 'madre': True, 'hermanos': False, 'abuelos_maternos': False, 'abuelos_paternos': False, 'parientes': False, 'ingreso_familiar': '30000'}","[55, 52, 30]","{'condiciones': ['Hipertensión'], 'otro': 'Ninguno', 'padecimiento_cronico': True, 'nombre_padecimiento': 'Hipertensión', 'alergias': False, 'nombre_alergia': 'Ninguna', 'toma_medicamentos': True, 'nombre_medicamento': 'Enalapril', 'atencion_psicologica': False, 'motivo_atencion': 'No aplica'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UdeG', 'especialidad_previa': 'Ingeniería en Sistemas', 'municipio_institucion': 'Guadalajara', 'estado_institucion': 'Jalisco'}","{'espacio_laboral_preferido': 'Empresa Tecnológica', 'posibilidades_trabajo': 'Alto'}",2025-03-22 07:44:16.514,2025-03-22 07:44:16.514,
67deeae211bbf6cc9000eb42,example@mail.com,67d7a45f693e07166103f485,67d7a402693e07166103f482,Licenciatura en Software,EMMA,Lzacano,Ramirez,JUAN780101HNPLRP09,JUAP780101HPL,Masculino,Hombre,Soltero,0,Padres,Católica,O+,1990-01-01,31,México,Jalisco,Guadalajara,3331234567,3337654321,juanperez@gmail.com,https://facebook.com/juanperez,"{'calle': 'Av. Reforma', 'no_exterior': '123', 'no_interior': 'A', 'colonia': 'Centro', 'localidad': 'Guadalajara', 'municipio': 'Guadalajara', 'cp': '44100'}","['Cerca de la tienda OXXO', 'Frente al parque']","{'nombre': 'Maria Lopez', 'telefono': '3339876543', 'relacion': 'Madre'}","{'nombre': 'Carlos Perez', 'telefono': '3336543210', 'relacion': 'Padre'}","{'trabaja': 'Sí', 'horas_trabajo': '40', 'nombre_trabajo': 'Desarrollador de Software', 'direccion_trabajo': 'Av. Vallarta 1234', 'dias_trabajo': 'Lunes a Viernes', 'horario_trabajo': '9:00 a 18:00', 'ingreso_mensual': '15000', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': True, 'madre': True, 'hermanos': False, 'abuelos_maternos': False, 'abuelos_paternos': False, 'parientes': False, 'ingreso_familiar': '30000'}","[55, 52, 30]","{'condiciones': ['Hipertensión'], 'otro': 'Ninguno', 'padecimiento_cronico': True, 'nombre_padecimiento': 'Hipertensión', 'alergias': False, 'nombre_alergia': 'Ninguna', 'toma_medicamentos': True, 'nombre_medicamento': 'Enalapril', 'atencion_psicologica': False, 'motivo_atencion': 'No aplica'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UdeG', 'especialidad_previa': 'Ingeniería en Sistemas', 'municipio_institucion': 'Guadalajara', 'estado_institucion': 'Jalisco'}","{'espacio_laboral_preferido': 'Empresa Tecnológica', 'posibilidades_trabajo': 'Alto'}",2025-03-22 16:52:50.119,2025-03-22 16:52:50.119,
67deee29c0040917a6047522,al222210636@gmail.com,67d7a460693e07166103f486,67d7a402693e07166103f482,TICS,Ricardo,romero,Silva,RRSA040607HDISKDFKJ,RRSA040607,Masculino,Hombre,Soltero,2,Padre,Testigo de Jehova,O-,2004-03-15,25,México,Estado de México,En mi casa,7224567891,7282845678,ricardomediocre12@gmail.com,https://facebook.com/ricardoromero,"{'calle': 'Chapultepec', 'no_exterior': '0', 'no_interior': '0', 'colonia': 'San isidro', 'localidad': 'San Mateo Atenco', 'municipio': 'San Mateo Atenco', 'cp': '527105'}","['En un baldio', 'Alado de una primaria']","{'nombre': 'Emmanuel Serrano', 'telefono': '7224567891', 'relacion': 'Padre'}","{'nombre': 'Fanny Camacho', 'telefono': '7224567891', 'relacion': 'Madre'}","{'trabaja': 'Sí', 'horas_trabajo': '0', 'nombre_trabajo': 'Mediocre Inc', 'direccion_trabajo': 'Santa Fe', 'dias_trabajo': 'Lunes a Miercoles', 'horario_trabajo': '9:00 a 18:00', 'ingreso_mensual': '1500', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'hermanos': '1', 'ingreso_familiar': '4500'}","['40', '20', '34']","{'condiciones': 'Ninguno', 'otro': 'Ninguno', 'padecimiento_cronico': '0', 'nombre_padecimiento': 'Ninguno', 'alergias': '0', 'nombre_alergia': 'Ninguno', 'toma_medicamentos': '0', 'nombre_medicamento': 'Ninguno', 'atencion_psicologica': '0', 'motivo_atencion': 'Ninguno'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UTVT', 'especialidad_previa': 'Sistemas', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Empresa Tecnologica', 'posibilidades_trabajo': 'Medio'}",2025-03-22 17:06:49.209,2025-03-22 17:06:49.209,
67deef32c0040917a6047523,al222210636@gmail.com,67d7a461693e07166103f487,67d7a402693e07166103f483,TICS,Daniel,romero,Silva,RRSA040607HDISKDFKJ,RRSA040607,Masculino,Hombre,Soltero,7,Padre,Testigo de Jehova,B-,2004-03-15,1,México,Estado de México,En mi casa,7224567891,7282845678,ricardomediocre12@gmail.com,https://facebook.com/ricardoromero,"{'calle': 'Chapultepec', 'no_exterior': '0', 'no_interior': '0', 'colonia': 'San isidro', 'localidad': 'San Mateo Atenco', 'municipio': 'San Mateo Atenco', 'cp': '527105'}","['En un baldio', 'En un baldio']","{'nombre': 'Emmanuel Serrano', 'telefono': '7224567891', 'relacion': 'Padre'}","{'nombre': 'Fanny Camacho', 'telefono': '7224567891', 'relacion': 'Madre'}","{'trabaja': 'No', 'horas_trabajo': '0', 'nombre_trabajo': 'Mediocre Inc', 'direccion_trabajo': 'Santa Fe', 'dias_trabajo': 'Lunes a Miercoles', 'horario_trabajo': '9:00 a 18:00', 'ingreso_mensual': '7500', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'hermanos': '1', 'ingreso_familiar': '8000'}","['50', '20', '30']","{'condiciones': 'Ninguno', 'otro': 'Ninguno', 'padecimiento_cronico': '0', 'nombre_padecimiento': 'Ninguno', 'alergias': '0', 'nombre_alergia': 'Ninguno', 'toma_medicamentos': '0', 'nombre_medicamento': 'Ninguno', 'atencion_psicologica': '0', 'motivo_atencion': 'Ninguno'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UTVT', 'especialidad_previa': 'Sistemas', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Empresa Tecnologica', 'posibilidades_trabajo': 'Alto'}",2025-03-22 17:11:14.717,2025-03-22 17:11:14.717,
67e0dc087d783769a50a2402,al222210749@gmail.com,67d7a45f693e07166103f485,67d7a402693e07166103f482,TICS,Emmanuel,Serrano,Arzate,ESAM040214JASLSAQ,ESAM040214,Masculino,Hombre,Soltero,4,Padres,Catolica,AB+,2004-02-14,21,México,Guanajuato,Silao,7224794610,7282898710,emmanuelarzatequiroz12@gmail.com,https://facebook.com/emmanuelserrano,"{'calle': 'Chapultepec', 'no_exterior': '0', 'no_interior': '0', 'colonia': 'San Isidro', 'localidad': 'San Mateo Atenco', 'municipio': 'San Mateo Atenco', 'cp': '527106'}","['Alado de una primaria', 'Alado de un baldio']","{'nombre': 'Eduardo Quiroz', 'telefono': '7224196671', 'relacion': 'Padre'}","{'nombre': 'Daniel Quiroz Arzate', 'telefono': '7224891630', 'relacion': 'Hermano'}","{'trabaja': 'No', 'horas_trabajo': '0', 'nombre_trabajo': None, 'direccion_trabajo': None, 'dias_trabajo': None, 'horario_trabajo': None, 'ingreso_mensual': '0', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'ingreso_familiar': '6700'}","['40', '39', '20']","{'condiciones': 'Discapacidad', 'otro': None, 'padecimiento_cronico': '0', 'nombre_padecimiento': None, 'alergias': '0', 'nombre_alergia': None, 'toma_medicamentos': '0', 'nombre_medicamento': None, 'atencion_psicologica': '0', 'motivo_atencion': None}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'CONALEP', 'especialidad_previa': 'Informatica', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Ciber', 'posibilidades_trabajo': 'Bajo'}",2025-03-24 04:13:59.614,2025-03-24 04:13:59.614,
67e0eb8aff0a98cbb20b8de2,al222210636@gmail.com,67d7a45f693e07166103f485,67d7a402693e07166103f482,TICS,Juan,Ramirez,Morelos,RAMJ040131HMCMRNA4,RAMJ040131,Masculino,Hombre,Soltero,0,Padres,Catolico,A+,2004-01-31,21,México,Estado de México,Ocoyoacac,5587195428,7282881566,juanramirezramirez31@gmail.com,https://facebook.com/ramirezlzrga,"{'calle': 'Luis Camarena', 'no_exterior': '0', 'no_interior': '0', 'colonia': 'Santiaguito', 'localidad': 'Santiaguito', 'municipio': 'Ocoyoacac', 'cp': '52755'}","['Alado de una tienda', 'Alado de una papeleria']","{'nombre': 'Daniel Quiroz', 'telefono': '7224893470', 'relacion': 'Amigo'}","{'nombre': 'Emmanuel Quiroz', 'telefono': '7224893470', 'relacion': 'Amigo'}","{'trabaja': 'No', 'horas_trabajo': None, 'nombre_trabajo': None, 'direccion_trabajo': None, 'dias_trabajo': None, 'horario_trabajo': None, 'ingreso_mensual': None, 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'abuelos_maternos': '1', 'ingreso_familiar': '9000'}","['36', '34', '86']","{'condiciones': 'Ninguna', 'otro': None, 'padecimiento_cronico': '0', 'nombre_padecimiento': None, 'alergias': '0', 'nombre_alergia': None, 'toma_medicamentos': '0', 'nombre_medicamento': None, 'atencion_psicologica': '0', 'motivo_atencion': None}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'CONALEP', 'especialidad_previa': 'Informatica', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Empresa Tecnologica', 'posibilidades_trabajo': 'Medio'}",2025-03-24 05:20:10.783,2025-03-24 05:20:10.783,222210636
67e0fc8fff0a98cbb20b8de4,,,,,,,,,,,,,0,Padres,Catolico,A+,2004-01-31,21,México,Estado de México,Toluca,5587195428,7281033345,juanramirezramirez31@gmail.com,https://facebook.com/ramirezlzrga,"{'calle': 'Luis Camarena', 'no_exterior': '0', 'no_interior': '0', 'colonia': 'Santiaguito', 'localidad': 'Santiaguito', 'municipio': 'Ocoyoacac', 'cp': '52755'}","['Alado de una tienda', 'Alado de una papeleria']","{'nombre': 'Daniel Recillas', 'telefono': '7224567531', 'relacion': 'Amigo'}","{'nombre': 'Emmanuel Recillas', 'telefono': '7224567531', 'relacion': 'Amigo'}","{'trabaja': 'Sí', 'horas_trabajo': '0', 'nombre_trabajo': None, 'direccion_trabajo': None, 'dias_trabajo': '0', 'horario_trabajo': '0', 'ingreso_mensual': '0', 'dependencia_economica': 'Padres', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'ingreso_familiar': '7500'}","['40', '36', '18']","{'condiciones': 'Ninguna', 'otro': 'Ninguna', 'padecimiento_cronico': '0', 'nombre_padecimiento': 'Ninguna', 'alergias': '0', 'nombre_alergia': 'Ninguna', 'toma_medicamentos': '0', 'nombre_medicamento': 'Ninguna', 'atencion_psicologica': '0', 'motivo_atencion': 'Ninguna'}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'CONALEP', 'especialidad_previa': 'Informatica', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Empresa Tecnologica', 'posibilidades_trabajo': 'Medio'}",2025-03-24 06:32:47.080,2025-03-24 06:32:47.080,67e0fc8eff0a98cbb20b8de3
67eed48873d99b5d8a00db03,,,,,,,,,,,,,0,Solo,Catolico,A+,2004-02-21,21,Mexico,Estado de Mexico,Toluca,7229874156,7282881545,ricardoromero12@gmail.com,https://facebook.com/ricardoromero,"{'calle': 'Chapultepec', 'no_exterior': '16', 'no_interior': None, 'colonia': 'San Isidro', 'localidad': 'San Mateo Atenco', 'municipio': 'San Mateo Atenco', 'cp': '527106'}","['Alado de una carniceria', 'Enfrente de una primaria']","{'nombre': 'Monica Segura', 'telefono': '7229874156', 'relacion': 'Novia'}","{'nombre': 'Enable', 'telefono': '7229874156', 'relacion': 'Hermano'}","{'trabaja': 'Sí', 'horas_trabajo': '5', 'nombre_trabajo': 'Carniceria', 'direccion_trabajo': 'Toluca', 'dias_trabajo': 'Sabado a Domingo', 'horario_trabajo': '8:00 a.m a 3:00 a.m', 'ingreso_mensual': '60000', 'dependencia_economica': 'Solo', 'vive_con': 'Padres'}","{'padre': '1', 'madre': '1', 'ingreso_familiar': '6000'}","['40', '20', '10']","{'condiciones': 'Autismo', 'otro': None, 'padecimiento_cronico': '0', 'nombre_padecimiento': None, 'alergias': '0', 'nombre_alergia': None, 'toma_medicamentos': '0', 'nombre_medicamento': None, 'atencion_psicologica': '0', 'motivo_atencion': None}","{'tipo_escuela_previa': 'Pública', 'modalidad_previa': 'Presencial', 'institucion_previa': 'UTVT', 'especialidad_previa': 'Informatica', 'municipio_institucion': 'Lerma', 'estado_institucion': 'Estado de México'}","{'espacio_laboral_preferido': 'Empresa Tecnologica', 'posibilidades_trabajo': 'Medio'}",2025-04-03 18:33:44.618,2025-04-03 18:33:44.618,67eed48873d99b5d8a00db02
